question_id,answer_id,answer_de,answer_en,row_count
37150,69003,Prädiabetes,prediabetes,1
37150,69004,obstruktive Schlafapnoe,obstructive sleep apnea,1
37150,69006,Erhöhung des Cholesterins und/oder der Triglyceriden im Blut,elevation of blood cholesterol and/or triglycerides,2
37150,69008,Keine der genannten,none of the above,32
37151,69009,Ich bin nach einer Mahlzeit satt und höre auf zu essen.,I am full after one meal and stop eating.,3
37151,69010,Ich bin nach einer Mahlzeit satt und esse trotzdem weiter.,I am full after one meal and still continue to eat.,10
37151,69011,Unabhängig von den Mahlzeiten verspüre ich den ganzen Tag Hunger.,"Regardless of meals,            I feel hungry throughout the day.",15
37151,69012,Ich esse unabhängig von meinem Hungergefühl.,I eat regardless of my feeling of hunger.,7
37151,69013,Sonstiges,Other.,1
37152,69018,"Ich hatte keine schweren Nebenwirkungen, aufgrund derer ich die Behandlung abgebrochen habe.",I did not have severe side effects due to which I discontinued treatment.,4
37153,69019,Täglich,Daily,1
37153,69020,Mehrmals pro Woche,Several times a week,18
37153,69021,Einmal pro Woche,Once a week,5
37153,69022,Selten,Rarely,9
37153,69023,Gar nicht,Not at all,3
37154,69025,Normal - Zwischen 90/60 - 140/90,Normal 90/60 - 140/90,34
37154,69026,Hoch - Über 140/90,High 140/90,2
37155,69027,Nein,No,32
37155,69028,"Ja, ich habe damit mehr als 4% Körpergewicht in 3 Monaten verloren","Yes,       I lost more than 4% body weight in 3 months with it",2
37155,69029,"Ja, ich habe damit weniger als 4% Körpergewicht in 3 Monaten verloren","Yes,       I lost less than 4% body weight in 3 months with it",2
37157,69030,Weniger als 1 Jahr,Less than 1 year,2
37157,69031,1-5 Jahre,1-5 years,9
37157,69032,Mehr als 5 Jahre,More than 5 years,12
37157,69033,Seit der Kindheit oder Jugend,Since childhood or adolescence,13
37158,107510,Ja,Yes,2
37158,107511,Nein,No,34
37161,69036,Nein,No,2
37161,69037,Diät - eigene Diät oder ein Programm,Diet - own diet or a program,18
37161,69038,Sport,Exercise,14
37161,69041,Hypnose,Hypnosis,1
37161,69043,Anderes,Other,1
37171,69045,Ich verstehe und bestätige.,I understand and confirm.,22
37189,69046,Ich verstehe und bestätige.,I understand and confirm.,2
37190,69047,"Ja, ich habe meine Gewichtsabnahmeziele erreicht.","Yes,      I met my weight loss goals",3
37190,69048,"Nein, ich habe meine Gewichtsabnahmeziele nicht erreicht.","No,      I did not meet my weight loss goals.",33
37198,69050,Ich habe gastroösophagealen Reflux,I have gastroesophageal reflux,1
37198,69051,Keine der genannten,"None of the above"".",35
37204,69053,Keine der genannten,None of the above,36
37206,83132,Keine der genannten,None of the above,36
37208,97067,Keine der genannten,None of the above,36
37210,69075,Keine der genannten,None of the above,36
37213,69076,Foto sofort hochladen,Upload photo immediately,22
37213,69077,Später hochladen,Später hochladen,14
37219,69080,Ich verstehe und bestätige.,I understand and confirm.,17
41188,75723,Normal - Zwischen 90/60 - 140/90,Normal - Between 90/60 - 140/90,1
41190,75726,Nein,No,1
41191,78002,Jetzt GoLighter nachbestellen,Go on,1
41193,75734,Nein,No,1
41200,82008,Regelmäßig 1 x täglich,Regelmäßig 1 x täglich,1
41221,75747,Sport,Exercise,1
41221,75748,Ernährungsberatung,Dietary advice,1
41233,75757,Ich fühle mich aktiver/fitter,I feel more active/fitter,1
41237,75769,Keine Nebenwirkungen,No side effects,1
41248,75776,Keine Nebenwirkungen,No side effects,1
41256,75780,Ich verstehe und bestätige,I understand and confirm,1
41278,75801,Nichts davon,None of the above,1
41281,75803,Ich wende das Medikament lückenlos an.,I use the medication without any gaps.,1
46895,87334,"Ich hatte keine schweren Nebenwirkungen, aufgrund derer ich die Behandlung abgebrochen habe.",I did not have severe side effects due to which I discontinued treatment.,4
46896,87336,Mehrmals pro Woche,Several times a week,14
46896,87337,Einmal pro Woche,Once a week,14
46896,87338,Selten,Rarely,8
46896,87339,Gar nicht,Not at all,2
46897,87341,Normal - Zwischen 90/60 - 140/90,Normal 90/60 - 140/90,32
46897,87342,Hoch - Über 140/90,High 140/90,6
46898,87343,Nein,No,34
46898,87344,"Ja, ich habe damit mehr als 4% Körpergewicht in 3 Monaten verloren","Yes,       I lost more than 4% body weight in 3 months with it",3
46898,87345,"Ja, ich habe damit weniger als 4% Körpergewicht in 3 Monaten verloren","Yes,       I lost less than 4% body weight in 3 months with it",1
46900,87346,Weniger als 1 Jahr,Less than 1 year,2
46900,87347,1-5 Jahre,1-5 years,12
46900,87348,Mehr als 5 Jahre,More than 5 years,17
46900,87349,Seit der Kindheit oder Jugend,Since childhood or adolescence,7
46901,107266,Ja,Yes,9
46901,107267,Nein,No,29
46904,87352,Nein,No,2
46904,87353,Diät - eigene Diät oder ein Programm,Diet - own diet or a program,25
46904,87354,Sport,Exercise,8
46904,87359,Anderes,Other,2
46904,87360,Krankenhausaufenthalt oder Kur oder Reha,Hospitalization or spa or rehab,1
