question_id,question_de,question_en,row_count,survey_ids,sample_answer_values,answer_options_en,answer_options_de,n_answer_options,duplicate_count
37149,"Damit unsere Ärzte evaluieren können, ob Du für Wegovy geeignet bist, benötigen wir Deine Körpergröße und Gewicht, um Deinen aktuellen BMI-Wert zu berechnen. * Die Wegovy Behandlung ist ab einem BMI von min. 27 geeignet.","In order for our Doctors to evaluate whether you are suitable for Wegovy, we need your height and weight to calculate your current BMI value. The Wegovy treatment is suitable from a BMI of min. 27.",36,[1236],"['{""bmi"":34.5679012345679,""height"":180,""weight"":112}', '{""bmi"":30.85399449035813,""height"":165,""weight"":84}', '{""bmi"":46.49196956889264,""height"":182,""weight"":154}', '{""bmi"":44.75308641975308,""height"":180,""weight"":145}', '{""bmi"":32.46618106139438,""height"":155,""weight"":78}']",[],[],0,1
37150,"Leidest Du unter einer der folgenden Erkrankungen? Bitte antworte ehrlich, da diese Angaben für den ärztlichen Check wichtig sind.","Do you suffer from any of the following conditions? Please answer honestly, as this information is important for the medical check.",36,[1236],"['[""Keine der genannten""]', '[""Prädiabetes""]', '[""Erhöhung des Cholesterins und/oder der Triglyceriden im Blut""]', '[""obstruktive Schlafapnoe""]']","['elevation of blood cholesterol and/or triglycerides', 'none of the above', 'obstructive sleep apnea', 'prediabetes']","['Erhöhung des Cholesterins und/oder der Triglyceriden im Blut', 'Keine der genannten', 'Prädiabetes', 'obstruktive Schlafapnoe']",4,26
37151,Wie würdest Du Dein Hungergefühl beschreiben?,How would you describe your sense of hunger?,36,[1236],"['Ich bin nach einer Mahlzeit satt und esse trotzdem weiter.', 'Unabhängig von den Mahlzeiten verspüre ich den ganzen Tag Hunger.', 'Ich bin nach einer Mahlzeit satt und höre auf zu essen.', 'Ich esse unabhängig von meinem Hungergefühl.', 'Sonstiges']","['I am full after one meal and still continue to eat.', 'I am full after one meal and stop eating.', 'I eat regardless of my feeling of hunger.', 'Other.', 'Regardless of meals,            I feel hungry throughout the day.']","['Ich bin nach einer Mahlzeit satt und esse trotzdem weiter.', 'Ich bin nach einer Mahlzeit satt und höre auf zu essen.', 'Ich esse unabhängig von meinem Hungergefühl.', 'Sonstiges', 'Unabhängig von den Mahlzeiten verspüre ich den ganzen Tag Hunger.']",5,6
37152,"Der Wirkstoff Semaglutid zeigt sich in Studien als wirksam und in der Regel gut verträglich. Wie bei jedem anderen Medikament auch, können allerdings unter der Einnahme des Präparates unerwünschte Nebenwirkungen auftreten. Sollte bei Dir in der Vergangenheit eine der folgenden Nebenwirkungen aufgetreten sein, möchten wir Dich bitten, diese entsprechend anzugeben (auch wenn diese der Grund des Behandlungsabbruchs war).","The active ingredient semaglutide has been shown in studies to be effective and generally well tolerated. However, as with any other medication, undesirable side effects can occur when taking the preparation. If you have experienced any of the following side effects in the past, we would like to ask you to report them accordingly (even if they were the reason for discontinuing treatment).",4,[1236],"['Ich hatte keine schweren Nebenwirkungen, aufgrund derer ich die Behandlung abgebrochen habe.']",['I did not have severe side effects due to which I discontinued treatment.'],"['Ich hatte keine schweren Nebenwirkungen, aufgrund derer ich die Behandlung abgebrochen habe.']",1,1
37153,Wie häufig treibst Du Sport?,How often do you do sports?,36,[1236],"['Gar nicht', 'Mehrmals pro Woche', 'Selten', 'Einmal pro Woche', 'Täglich']","['Daily', 'Not at all', 'Once a week', 'Rarely', 'Several times a week']","['Einmal pro Woche', 'Gar nicht', 'Mehrmals pro Woche', 'Selten', 'Täglich']",5,39
37154,Wie lauten Deine aktuellen Blutdruckwerte?,What are your current blood pressure readings?,36,[1236],"['Normal - Zwischen 90/60 - 140/90', 'Hoch - Über 140/90']","['High 140/90', 'Normal 90/60 - 140/90']","['Hoch - Über 140/90', 'Normal - Zwischen 90/60 - 140/90']",2,60
37155,Hast Du in der Vergangenheit Medikamente mit dem Wirkstoff Liraglutid oder Semaglutid gegen Übergewicht verwendet?,Have you used medications with the active ingredient liraglutide or semaglutide for obesity in the past?,36,[1236],"['Nein', 'Ja, ich habe damit mehr als 4% Körpergewicht in 3 Monaten verloren', 'Ja, ich habe damit weniger als 4% Körpergewicht in 3 Monaten verloren']","['No', 'Yes,       I lost less than 4% body weight in 3 months with it', 'Yes,       I lost more than 4% body weight in 3 months with it']","['Ja, ich habe damit mehr als 4% Körpergewicht in 3 Monaten verloren', 'Ja, ich habe damit weniger als 4% Körpergewicht in 3 Monaten verloren', 'Nein']",3,25
37157,Aufgrund Deines BMI bist Du für Wegovy geeignet. Wie lange hast Du schon Gewichtsprobleme?,Your BMI makes you suitable for Wegovy. How long have you had weight problems?,36,[1236],"['1-5 Jahre', 'Mehr als 5 Jahre', 'Seit der Kindheit oder Jugend', 'Weniger als 1 Jahr']","['1-5 years', 'Less than 1 year', 'More than 5 years', 'Since childhood or adolescence']","['1-5 Jahre', 'Mehr als 5 Jahre', 'Seit der Kindheit oder Jugend', 'Weniger als 1 Jahr']",4,20
37158,Leidest Du unter weiteren Vorerkrankungen oder nimmst verschreibungspflichtige Medikamente ein?,Are you suffering from other pre-existing conditions or taking prescription medication?,36,[1236],"['Nein', 'Ja']","['No', 'Yes']","['Ja', 'Nein']",2,60
37161,Hast Du in der Vergangenheit andere Maßnahmen für eine Gewichtsabnahme ergriffen?,Have you taken other weight loss measures in the past?,36,[1236],"['Diät - eigene Diät oder ein Programm', 'Sport', '[""Diät - eigene Diät oder ein Programm""]', '[""Anderes""]', 'Hypnose']","['Diet - own diet or a program', 'Exercise', 'Hypnosis', 'No', 'Other']","['Anderes', 'Diät - eigene Diät oder ein Programm', 'Hypnose', 'Nein', 'Sport']",5,41
