question_id,question_en,question_de,clinical_category,answer_type,confidence,duplicate_group_id,canonical_question_id,duplicate_count,row_count
4723,Which PDE-5-Inhibitor did you take?,Welchen PDE-5-Hemmer hast Du eingenommen?,MEDICATION_HISTORY,predefined,high,1,4723,1,1
4724,"How satisfied are you with your sex life since taking the PDE-5 inhibitor ((Sildenafil (Viagra), Tadalafil (Cialis), Vardenafil (Levitra))?","Wie zufrieden bist Du mit deinem Sexualleben seitdem Du den PDE-5-Hemmer ((Sildenafil (Viagra), Tadalafil (Cialis), Vardenafil (Levitra)) einnimmst?",TREATMENT_EFFECTIVENESS,predefined,high,2,4724,105,1
4726,Have you been newly diagnosed with any of the following conditions or medical events by a Doctor in the last few months since you were prescribed PDE-5-Inhibitors (independent of taking the PDE-5-Inhibitor)? Please select which applies.,Wurde bei Dir in den letzten Monaten seit Deiner Verschreibung des PDE-5-Hemmers eine der folgenden Krankheiten oder medizinischen Ereignisse durch einen Arzt neu diagnostiziert (unabhängig von der Einnahme des PDE-5-Hemmers)? Bitte wähle Zutreffende aus.,MEDICAL_CONDITIONS,predefined,high,3,4726,105,1
4728,Are you currently taking any of the following medications? Please select the appropriate ones.,Nimmst Du aktuell eines der folgenden Medikamente ein? Bitte wähle Zutreffende aus.,MEDICATION_HISTORY,predefined,high,4,4728,202,1
4730,"Have you experienced the following side effects while taking the PDE-5 inhibitor ((Sildenafil (Viagra), Tadalafil (Cialis), Vardenafil (Levitra))?","Sind folgende Nebenwirkungen während der Einnahme des PDE-5-Hemmers ((Sildenafil (Viagra), Tadalafil (Cialis), Vardenafil (Levitra)) aufgetreten?",SIDE_EFFECT_REPORT,predefined,high,5,4730,210,1
8795,Do you regularly have difficulty getting or maintaining an erection?,Hast Du regelmäßig Schwierigkeiten eine Erektion zu bekommen oder zu halten?,SYMPTOM_ASSESSMENT,predefined,high,6,8795,95,4
8797,Have you had difficulties with erections for more than a year?,Hast Du seit mehr als einem Jahr Schwierigkeiten mit der Erektion?,SYMPTOM_DURATION,predefined,high,7,8797,97,4
8798,How often have you achieved an erection sufficient for penetration and sexual intercourse?,Wie oft hast Du eine für die Penetration und Ausübung des Geschlechtakts ausreichende Erektion erreicht?,TREATMENT_EFFECTIVENESS,predefined,high,8,8798,97,4
8799,How satisfied are you with your sex life even without medication (e.g. Viagra)?,Wie zufrieden bist Du mit Deine Sexualleben auch ohne Unterstützung eines Medikaments (z. B. Viagra)?,TREATMENT_EFFECTIVENESS,predefined,high,9,8799,97,4
8800,"Do you sometimes have no problems with an erection? For example, when you wake up in the morning, when you masturbate or during sexual intercourse?","Hast Du manchmal keine Probleme mit der Erektion? Beispielsweise beim morgendlichen Erwachen, beim Masturbieren oder beim Geschlechtsverkehr?",SYMPTOM_ASSESSMENT,predefined,high,10,8800,6,4
8801,"You should have done a blood pressure test within the last year to answer the following questions. It is best to have your blood pressure measured regularly by Doctors, Nurses or Pharmacists.","Du solltest innerhalb des letzten Jahres einen Blutdrucktest gemacht haben um die folgenden Fragen zu beantworten. Am besten lässt Du regelmäßig Deinen Blutdruck durch Ärzte, Krankenpflegepersonal oder Apotheker messen.",BLOOD_PRESSURE_CHECK,predefined,high,11,8801,95,4
8802,What are your current blood pressure readings?,Wie lauten Deine aktuellen Blutdruckwerte?,BLOOD_PRESSURE_CHECK,predefined,high,12,8802,263,4
8804,We need your height and weight to calculate your current BMI value.,"Wir benötigen Deine Körpergröße und Dein Gewicht, um Deinen aktuellen BMI-Wert zu berechnen.",BMI_MEASUREMENT,json_structured,high,13,8804,134,4
8805,Do you regularly drink large amounts of alcohol? (more than 1.5 litres of beer or 0.75 of a litre of wine),"Trinkst Du regelmäßig größere Mengen Alkohol? (mehr als 1,5 Liter Bier oder 0,75 Liter Wein)",LIFESTYLE_ASSESSMENT,predefined,high,14,8805,97,4
8806,Do you smoke regularly?,Rauchst Du regelmäßig?,LIFESTYLE_ASSESSMENT,predefined,high,15,8806,97,4
8807,Have you been diagnosed with any of the following diseases or medical events by a Physician? Please select the appropriate ones.,Wurde bei Dir eine der folgenden Krankheiten oder medizinischen Ereignisse durch einen Arzt diagnostiziert? Bitte wähle Zutreffende aus.,MEDICAL_CONDITIONS,predefined,high,16,8807,6,4
8809,Are you currently taking any of the following medications? Please select the appropriate ones.,Nimmst Du aktuell eines der folgenden Medikamente ein? Bitte wähle Zutreffende aus.,MEDICATION_HISTORY,predefined,high,4,4728,202,4
8811,"Have you been advised by a physician to avoid strenuous physical activity? For example, because of serious heart disease or heart pain (angina pectoris or unstable angina)?","Wurde Dir durch einen Mediziner empfohlen, starke körperliche Anstrengungen zu vermeiden? Zum Beispiel wegen ernsthaften Herzerkrankungen oder Herzschmerz (Angina pectoris oder Instabile Angina)?",MEDICAL_CONDITIONS,predefined,high,17,8811,97,4
